Age,Gender,Where_live,AVG_Sleep_Per_Night,Regular_Bed_time,Exam_Night_Bed_Time,Holiday_Bed_Time,Regular_WakeUp_Time,Holiday_WakeUp_Time,Have_Regular_Bed_Time,Daytime_Nap,Struggle_to_Sleep,Sleep_Condition,Electronic_Devices_Before_Bed,Consume_Caffeine_Night,Dinnar_Time,Smoke,Sleep_Affecting_Drugs,Daily_Academics_Time_Spend,Main_Reason_for_Insufficient_Sleep,Rate_Sleep_Quality,Class_Attendance,Sleepiness_During_Class,Skip_Class_for_Sleep,Focus_on_Academic_Task,Impact_of_Sleep_on_Academic,Current_CGPA5,CGPA3_Class,Aware_of_Recomamended_Sleep,Use_Sleep_Tracking_Devices,Sacrifices_Sleep_for_Academics
16–21,Female,In mess,7–8 hours,12–1 AM,12-1AM,>1AM,6-8AM,>8AM,No,3-4d,Sometimes,N/A,Yes,No,7-9PM,No,No,2-3h,Job,Good,Always,Often,No,Sometimes,S.Pos,3.75-4.0,3.5-4.0,No,No,No
21–25,Male,In hostel,Less than 5 hours,After 1 AM,>1AM,>1AM,6-8AM,>8AM,No,1-2d,Sometimes,N/A,Yes,No,7-9PM,Yes,No,>4h,Social media,Avg,Always,Never,No,Always,V.Pos,3.75-4.0,3.5-4.0,Yes,Yes,Yes
16–21,Male,With family,5–6 hours,Before 10:00 PM,11PM-12AM,12-1AM,6-8AM,>8AM,No,Never,Never,OSA,Yes,No,7-9PM,No,No,<1h,Workload,V.Good,Always,Never,No,Never,N/A,3.75-4.0,3.5-4.0,No,No,No
16–21,Female,With family,More than 8 hours,After 1 AM,12-1AM,>1AM,<6AM,>8AM,No,≥5d,Always,Insomnia,Yes,No,>9PM,No,No,<1h,Stress,Avg,Always,Always,No,Sometimes,S.Neg,3.75-4.0,3.5-4.0,Yes,Yes,No
16–21,Female,In hostel,5–6 hours,12–1 AM,>1AM,>1AM,6-8AM,6-8AM,Yes,1-2d,Sometimes,Insomnia,No,Yes,>9PM,No,Yes,>4h,Social media,Avg,Always,Often,No,Sometimes,V.Pos,3.75-4.0,3.5-4.0,Yes,No,Yes
21–25,Male,In hostel,7–8 hours,12–1 AM,11PM-12AM,>1AM,>8AM,>8AM,No,Never,Rarely,N/A,Yes,Yes,>9PM,No,No,<1h,Stress,Avg,Usually,Rarely,No,Sometimes,V.Neg,3.75-4.0,3.5-4.0,No,No,No
16–21,Female,In mess,5–6 hours,12–1 AM,11PM-12AM,>1AM,6-8AM,>8AM,Yes,1-2d,Rarely,N/A,Yes,Yes,7-9PM,No,No,1-2h,Social media,V.Good,Always,Never,No,Always,V.Pos,3.75-4.0,3.5-4.0,Yes,No,Yes
16–21,Male,In mess,7–8 hours,After 1 AM,>1AM,>1AM,>8AM,>8AM,No,1-2d,Sometimes,OSA,Yes,No,>9PM,No,No,1-2h,Social media,V.Good,Always,Never,No,Sometimes,S.Pos,3.75-4.0,3.5-4.0,No,Yes,Yes
16–21,Male,With family,7–8 hours,12–1 AM,12-1AM,>1AM,<6AM,>8AM,No,Never,Never,N/A,Yes,No,>9PM,No,No,1-2h,Social media,V.Good,Always,Never,No,Sometimes,V.Pos,3.75-4.0,3.5-4.0,No,Yes,Yes
16–21,Male,In mess,5–6 hours,12–1 AM,>1AM,12-1AM,6-8AM,>8AM,No,3-4d,Sometimes,N/A,Yes,Yes,>9PM,No,No,3-4h,Stress,Avg,Always,Often,No,Sometimes,S.Neg,3.75-4.0,3.5-4.0,No,No,Yes
21–25,Male,In mess,7–8 hours,After 1 AM,11PM-12AM,>1AM,6-8AM,>8AM,No,3-4d,Sometimes,Insomnia,Yes,No,>9PM,Yes,No,2-3h,Workload,Good,Usually,Rarely,Yes,Sometimes,S.Neg,3.75-4.0,3.5-4.0,Yes,No,Yes
21–25,Male,In hostel,5–6 hours,12–1 AM,11PM-12AM,>1AM,6-8AM,>8AM,No,1-2d,Sometimes,N/A,Yes,Yes,7-9PM,No,No,1-2h,Social media,V.Good,Always,Rarely,No,Sometimes,S.Pos,3.75-4.0,3.5-4.0,Yes,No,Yes
16–21,Male,With family,More than 8 hours,After 1 AM,12-1AM,>1AM,<6AM,>8AM,No,≥5d,Sometimes,N/A,Yes,Yes,>9PM,No,No,2-3h,Social media,Poor,Always,Rarely,No,Sometimes,N/A,3.75-4.0,3.5-4.0,Yes,No,No
21–25,Male,With family,5–6 hours,11–12 AM,10-11PM,12-1AM,<6AM,>8AM,Yes,3-4d,Never,OSA,Yes,Yes,>9PM,No,Yes,2-3h,Other,V.Good,Always,Rarely,No,Always,S.Pos,3.75-4.0,3.5-4.0,Yes,No,Yes
16–21,Male,In hostel,7–8 hours,After 1 AM,>1AM,>1AM,>8AM,>8AM,No,3-4d,Sometimes,N/A,Yes,Yes,>9PM,No,No,2-3h,Workload,Good,Usually,Often,No,Sometimes,N/A,3.75-4.0,3.5-4.0,Yes,No,No
16–21,Male,In hostel,7–8 hours,12–1 AM,>1AM,>1AM,6-8AM,>8AM,No,1-2d,Sometimes,N/A,Yes,No,7-9PM,No,No,2-3h,Stress,Good,Always,Rarely,No,Sometimes,S.Neg,3.75-4.0,3.5-4.0,Yes,No,Yes
